bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1836102,2127,HB4001,4,Passed,2024-03-28,"Relating to specialty courts; declaring an emergency.","The Act creates the Task Force on Specialty Courts and tells the task force to report to the legislature by November 15, 2024. The Act takes effect when the Governor signs it. (Flesch Readability Score: 63.6). [Digest: The Act creates the Task Force on Specialty Courts and tells the task force to report to the legislature by September 15, 2024. The Act takes effect on the 91st day after sine die. (Flesch Readability Score: 65.1).] Establishes the Task Force on Specialty Courts. Directs the task force to study certain issues concerning specialty courts and to provide the results of the study to the interim committees of the Legislative Assembly related to the judiciary no later than [September] November 15, 2024. Sunsets on December 31, 2024. [Takes effect on the 91st day following adjournment sine die.] Declares an emergency, effective on passage.",0,,2024-03-28,"Chapter 23, (2024 Laws): Effective date March 27, 2024.",https://legiscan.com/OR/bill/HB4001/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4001
1836048,2127,HB4002,4,Passed,2024-04-10,"Relating to the addiction crisis in this state; declaring an emergency.","The Act makes changes to laws to make it easier to get treatment for substance use problems. The Act changes drug laws. The Act takes effect when the Governor signs it. (Flesch Readability Score: 87.1). Prohibits insurers from requiring prior authorization or other utilization review for coverage of substance use disorder medications. Specifies exceptions. Requires coordinated care organizations to provide to members medications for treatment of opioid use disorder and any co-occurring substance use disorder or mental health condition. Prohibits coordinated care organizations and public payers of health insurance from requiring prior authorization for medication-assisted treatment. Allows pharmacists to prescribe and dispense early refills of medication for opioid use disorder under specified conditions. Allows pharmacists to have on-site prescription drug lockers without obtaining a license or registration from the State Board of Pharmacy. Requires coordinated care organizations to have adequate networks of addiction treatment providers. Directs the Alcohol and Drug Policy Commission to conduct a study related to access to opioid use disorder treatment and interventions. Requires commission to report recommendations to Legislative Assembly to address barriers to accessing opioid use disorder treatment and interventions. Establishes a certified community behavioral health clinic program in the Oregon Health Authority and specifies the requirements for the program. Establishes the Joint Task Force on Regional Behavioral Health Accountability to make recommendations to the Legislative Assembly to improve the governance of behavioral health systems and strengthen evidence-based and equitable funding decisions and accountability of behavioral health systems. Sunsets January 2, 2026. Establishes the Task Force on Improving the Safety of Behavioral Health Workers to make recommendations to the Legislative Assembly to address the safety concerns that are prevalent in the behavioral health industry. Sunsets January 2, 2026. Establishes the United We Heal Medicaid Payment Program in the authority to provide supplemental medical assistance payments to behavioral health providers to enable the providers to access enhanced apprenticeship and training programs and opportunities by participating in a labor-management training trust. Modifies the definition of ""delivery"" for purposes of the Uniform Controlled Substance Act. Increases presumptive sentences when unlawful delivery of a controlled substance occurs in specified locations. Increases penalties for unlawful possession of a controlled substance on September 1, 2024. Designates crime as a drug enforcement misdemeanor and specifies sentence. Creates a new form of conditional discharge for drug enforcement misdemeanors and establishes processes for sealing records related to the crime. Establishes the Oregon Behavioral Health Deflection Program consisting of grants awarded to fund deflection programs. Directs the Oregon Criminal Justice Commission to track data including arrests and prosecutions for possession and delivery crimes and data concerning deflection program outcomes. Increases the number of hours a person can be held in a facility when admitted to the facility due to intoxication or being under the influence of controlled substances. Authorizes members of a mobile crisis intervention team to take a person to a sobering facility or appropriate facility. Modifies immunity from civil and criminal liability for certain persons involved in the provision of treatment. Establishes the Oregon Jail-Based Medications for Opioid Use Disorder Grant Program. Declares an emergency, effective on passage.",0,,2024-04-10,"Chapter 70, (2024 Laws): Effective date April 1, 2024.",https://legiscan.com/OR/bill/HB4002/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4002
1836041,2127,HB4003,4,Passed,2024-04-10,"Relating to medical examiners; declaring an emergency.","The Act tells a state agency to study the shortage of MEs in this state. The Act tells the agency to provide the results of the study to the legislature by October 1, 2024. The Act goes into effect when the Governor signs it. (Flesch Readability Score: 65.0). Directs the Department of State Police to study the causes of and ways to address the medical examiner shortage, and to provide the results of the study to the appropriate interim committees of the Legislative Assembly no later than October 1, 2024. Sunsets on January 2, 2025. Declares an emergency, effective on passage.",0,,2024-04-10,"Chapter 72, (2024 Laws): Effective date April 4, 2024.",https://legiscan.com/OR/bill/HB4003/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4003
1835972,2127,HB4004,4,Passed,2024-03-12,"Relating to unlawful employment of minors; prescribing an effective date.","The Act changes the state law that governs civil penalties imposed against a person who violates child labor laws. The Act goes into effect 91 days after session ends. (Flesch Readability Score: 60.8). [Digest: The Act changes the state law that governs when BOLI can impose civil penalties against a person who violates child labor laws. The Act goes into effect 91 days after session ends. (Flesch Readability Score: 61.0).] Increases civil penalties for violating child labor laws. Allows the Commissioner of the Bureau of Labor and Industries to impose civil penalties against a person for violating the child labor laws when the person has paid a civil penalty to the United States Department of Labor for a violation involving the same facts. Removes the requirement for the commissioner to refund any previously assessed civil penalties against the person when the person has already paid a civil penalty to the United States Department of Labor. Takes effect on the 91st day following adjournment sine die.",0,,2024-03-12,"Chapter 1, (2024 Laws): Effective date June 6, 2024.",https://legiscan.com/OR/bill/HB4004/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4004
1836049,2127,HB4005,6,Failed,2024-03-07,"Relating to an individual's performance of services for an employer; prescribing an effective date.","The Act makes changes to state law to clarify the meaning of an individual's performance of services. The Act takes effect 91 days after session ends. (Flesch Readability Score: 63.4). Clarifies when an employee is employed by employing unit or employer for a single hour of work for purposes of unemployment insurance and paid family and medical leave programs. Requires the Director of the Employment Department to issue a refund to a paying entity that paid the employer contribution amounts on behalf of an employer with respect to employees for hours of work in which the employees did not perform services for the paying entity. Takes effect on the 91st day following adjournment sine die.",0,,2024-03-07,"In committee upon adjournment.",https://legiscan.com/OR/bill/HB4005/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4005
1836085,2127,HB4006,4,Passed,2024-03-12,"Relating to submitting surety bonds in lieu of retainage; declaring an emergency.","Requires state agencies to accept surety bonds from people who perform construction work for the state, instead of holding onto some of the money the agencies owe for the work, in order to make sure the work is done correctly. Gives a form for the surety bond. (Flesch Readability Score: 60.5). Requires a contracting agency to accept from contractors surety bonds in lieu of retainage for construction projects and public improvement contracts. Specifies requirements for submitting surety bonds. Specifies relations between a contractor and a subcontractor when the contractor submits a surety bond on behalf of the subcontractor. Declares an emergency, effective on passage.",0,,2024-03-12,"Chapter 2, (2024 Laws): Effective date March 7, 2024.",https://legiscan.com/OR/bill/HB4006/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4006
1835995,2127,HB4007,6,Failed,2024-03-07,"Relating to tax treatment of wildfire litigation; prescribing an effective date.","Exempts awards from and legal fees paid in wildfire suits from income tax. (Flesch Readability Score: 76.5). Creates an Oregon tax subtraction for amounts received in settlement of civil actions arising from wildfire. [Allows] Creates an Oregon [itemized deduction] tax subtraction for wildfire-related legal fees paid by plaintiffs. Allows taxpayer to amend return to claim refund for earliest tax year in which a subtraction is allowed. Applies to wildfire emergency declarations and executive orders issued on or after January 1, 2018, and before January 1, 2026, and to amounts received, losses incurred and legal fees paid in all tax years beginning on or after January 1, [2020] 2018. Takes effect on the 91st day following adjournment sine die.",0,,2024-03-07,"In committee upon adjournment.",https://legiscan.com/OR/bill/HB4007/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4007
1836155,2127,HB4008,6,Failed,2024-03-07,"Relating to behavioral health.","The Act requires the OHA to study the problems in getting mental health care and substance use care in this state. The Act requires the OHA to send a report on its findings to the legislature. The section is repealed on January 2, 2026. (Flesch Readability Score: 65). Requires the Oregon Health Authority to study access to behavioral health treatment in this state. Directs the authority to submit findings to the interim committees of the Legislative Assembly related to health not later than September 15, 2025. Sunsets January 2, 2026.",0,,2024-03-07,"In committee upon adjournment.",https://legiscan.com/OR/bill/HB4008/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4008
1836174,2127,HB4009,6,Failed,2024-03-07,"Relating to public safety.","The Act directs the CJC to study ways to address the use of drugs in public places. The Act directs the CJC to provide the results of the study to the legislature by May 1, 2025. (Flesch Readability Score: 68.7). Directs the Oregon Criminal Justice Commission to study ways to address the use of controlled substances in public places. Requires the commission to provide the results of the study to the appropriate interim committees of the Legislative Assembly no later than May 1, 2025. Sunsets January 2, 2026.",0,,2024-03-07,"In committee upon adjournment.",https://legiscan.com/OR/bill/HB4009/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4009
1835943,2127,HB4010,4,Passed,2024-04-10,"Relating to health care; prescribing an effective date.","The Act makes changes to laws about prescription drugs and some health care providers. The Act says the Oregon State Hospital does not have to do certain things about staffing. The Act changes the term ""physician assistant"" to ""physician associate."" (Flesch Readability Score: 62.1). Specifies that flavoring of a prescription drug is not compounding. Exempts the Oregon State Hospital from certain hospital staffing requirements. Removes requirement that an applicant for licensure as a licensed professional counselor or therapist submit a professional disclosure statement. Changes the term ""physician assistant"" to ""physician associate."" Takes effect on the 91st day following adjournment sine die.",0,,2024-04-10,"Chapter 73, (2024 Laws): Effective date June 6, 2024.",https://legiscan.com/OR/bill/HB4010/2024,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/HB4010
